Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag","Tuberculosis†, Cum 2015","Tuberculosis†, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,1289,,1289,,2717,,1289,,1305,,,
NEW ENGLAND,2016,1,40,,40,,90,,40,,41,,,
CONNECTICUT,2016,1,4,,4,,24,,4,,9,,,
MAINE,2016,1,5,,3,,7,,5,,1,,,
MASSACHUSETTS,2016,1,28,,28,,56,,28,,26,,,
NEW HAMPSHIRE,2016,1,,-,0,,4,,,-,2,,,
RHODE ISLAND,2016,1,3,,3,,13,,3,,1,,,
VERMONT,2016,1,,-,0,,2,,,-,2,,,
MID. ATLANTIC,2016,1,224,,224,,364,,224,,181,,,
NEW JERSEY,2016,1,38,,38,,118,,38,,20,,,
NEW YORK,2016,1,31,,31,,63,,31,,23,,,
NEW YORK CITY,2016,1,130,,118,,159,,130,,112,,,
PENNSYLVANIA,2016,1,25,,25,,61,,25,,26,,,
E.N. CENTRAL,2016,1,121,,121,,253,,121,,110,,,
ILLINOIS,2016,1,53,,53,,113,,53,,48,,,
INDIANA,2016,1,21,,21,,35,,21,,16,,,
MICHIGAN,2016,1,22,,22,,43,,22,,13,,,
OHIO,2016,1,21,,21,,46,,21,,20,,,
WISCONSIN,2016,1,4,,4,,19,,4,,13,,,
W.N. CENTRAL,2016,1,41,,41,,95,,41,,61,,,
IOWA,2016,1,,-,0,,11,,,-,9,,,
KANSAS,2016,1,,-,0,,10,,,-,5,,,
MINNESOTA,2016,1,25,,25,,57,,25,,12,,,
MISSOURI,2016,1,5,,5,,24,,5,,24,,,
NEBRASKA,2016,1,,-,0,,9,,,-,8,,,
NORTH DAKOTA,2016,1,7,,0,,7,,7,,,-,,
SOUTH DAKOTA,2016,1,4,,3,,6,,4,,3,,,
S. ATLANTIC,2016,1,231,,231,,471,,231,,216,,,
DELAWARE,2016,1,2,,2,,7,,2,,6,,,
DIST. OF COL.,2016,1,1,,1,,13,,1,,6,,,
FLORIDA,2016,1,88,,88,,180,,88,,105,,,
GEORGIA,2016,1,54,,54,,87,,54,,47,,,
MARYLAND,2016,1,27,,27,,57,,27,,9,,,
NORTH CAROLINA,2016,1,21,,21,,77,,21,,15,,,
SOUTH CAROLINA,2016,1,13,,13,,34,,13,,13,,,
VIRGINIA,2016,1,23,,23,,75,,23,,13,,,
E.S. CENTRAL,2016,1,55,,55,,117,,55,,52,,,
ALABAMA,2016,1,26,,26,,32,,26,,20,,,
KENTUCKY,2016,1,3,,3,,27,,3,,,-,,
MISSISSIPPI,2016,1,10,,10,,28,,10,,11,,,
TENNESSEE,2016,1,16,,16,,40,,16,,21,,,
W.S. CENTRAL,2016,1,213,,213,,430,,213,,264,,,
ARKANSAS,2016,1,12,,12,,27,,12,,19,,,
LOUISIANA,2016,1,5,,5,,51,,5,,3,,,
OKLAHOMA,2016,1,13,,13,,18,,13,,7,,,
TEXAS,2016,1,183,,183,,357,,183,,235,,,
MOUNTAIN,2016,1,23,,23,,183,,23,,35,,,
ARIZONA,2016,1,,-,0,,122,,,-,2,,,
COLORADO,2016,1,9,,9,,20,,9,,8,,,
IDAHO,2016,1,1,,1,,5,,1,,1,,,
MONTANA,2016,1,,-,0,,3,,,-,1,,,
NEVADA,2016,1,6,,6,,32,,6,,10,,,
NEW MEXICO,2016,1,1,,1,,13,,1,,10,,,
UTAH,2016,1,5,,5,,14,,5,,3,,,
WYOMING,2016,1,1,,0,,2,,1,,,-,,
PACIFIC,2016,1,341,,341,,738,,341,,345,,,
ALASKA,2016,1,10,,10,,19,,10,,12,,,
CALIFORNIA,2016,1,260,,260,,617,,260,,259,,,
HAWAII,2016,1,21,,21,,35,,21,,26,,,
OREGON,2016,1,16,,16,,23,,16,,16,,,
WASHINGTON,2016,1,34,,34,,61,,34,,32,,,
AMER. SAMOA,2016,1,,-,0,,3,,,-,1,,,
C.N.M.I.,2016,1,6,,3,,10,,6,,3,,,
GUAM,2016,1,1,,1,,21,,1,,11,,,
PUERTO RICO,2016,1,8,,8,,19,,8,,6,,,
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2016,1,2,,0,,5,,2,,2,,"WEST, VIRGINIA
(37.777076, -79.001402)",
UNITED STATES,2016,2,1612,,1612,,2734,,3339,,4470,,,
NEW ENGLAND,2016,2,42,,42,,83,,87,,164,,,
MID. ATLANTIC,2016,2,293,,239,,364,,532,,558,,,
NEW YORK CITY,2016,2,153,,122,,158,,275,,277,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,82,,82,,254,,215,,373,,,
W.N. CENTRAL,2016,2,67,,67,,108,,134,,185,,,
S. ATLANTIC,2016,2,338,,323,,473,,661,,750,,,
DIST. OF COL.,2016,2,6,,5,,13,,17,,15,,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,103,,55,,117,,158,,192,,,
W.S. CENTRAL,2016,2,261,,261,,418,,607,,828,,,
MOUNTAIN,2016,2,36,,28,,183,,64,,161,,,
PACIFIC,2016,2,390,,390,,736,,881,,1259,,,
AMER. SAMOA,2016,2,,-,0,,3,,,-,1,,"AMER. SAMOA
",
C.N.M.I.,2016,2,1,,1,,10,,8,,8,,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WISCONSIN,2016,2,,-,0,,19,,4,,34,,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2016,2,29,,21,,35,,50,,57,,"INDIANA
(39.76845, -86.156212)",
GUAM,2016,2,,-,0,,19,,5,,41,,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2016,2,51,,25,,76,,76,,78,,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2016,2,,-,0,,2,,1,,2,,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2016,2,25,,25,,56,,55,,90,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2016,2,100,,100,,180,,234,,282,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2016,2,,-,0,,4,,,-,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2016,2,48,,36,,63,,84,,75,,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2016,2,13,,10,,28,,23,,32,,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2016,2,26,,15,,26,,41,,32,,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2016,2,30,,3,,30,,33,,29,,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2016,2,12,,12,,51,,33,,42,,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2016,2,10,,6,,32,,16,,35,,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2016,2,62,,38,,118,,100,,113,,"NEW JERSEY
(40.104655, -74.386686)",
MAINE,2016,2,5,,3,,7,,10,,8,,"MAINE
(45.252223, -68.986647)",
IOWA,2016,2,5,,5,,12,,17,,23,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2016,2,7,,7,,16,,14,,41,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2016,2,60,,26,,60,,86,,74,,"MARYLAND
(39.290443, -76.612333)",
SOUTH CAROLINA,2016,2,29,,16,,29,,45,,55,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WASHINGTON,2016,2,43,,37,,54,,80,,108,,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2016,2,54,,54,,83,,128,,160,,"GEORGIA
(32.836038, -83.631709)",
UTAH,2016,2,4,,4,,14,,8,,14,,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2016,2,5,,3,,10,,8,,15,,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2016,2,6,,6,,35,,38,,66,,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2016,2,14,,14,,24,,32,,51,,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2016,2,30,,30,,61,,73,,93,,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH DAKOTA,2016,2,1,,0,,7,,8,,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
OREGON,2016,2,8,,8,,23,,26,,35,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2016,2,44,,25,,57,,69,,57,,"MINNESOTA
(44.943719, -93.094281)",
WEST VIRGINIA,2016,2,3,,1,,5,,5,,4,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2016,2,,-,0,,9,,1,,18,,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2016,2,,-,0,,2,,,-,3,,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2016,2,28,,28,,77,,61,,74,,"NORTH CAROLINA
(35.47995, -79.180571)",
ALASKA,2016,2,11,,11,,19,,26,,35,,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2016,2,31,,16,,31,,47,,75,,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2016,2,199,,199,,357,,495,,695,,"TEXAS
(31.827233, -99.423022)",
MONTANA,2016,2,,-,0,,3,,,-,3,,"MONTANA
(47.062617, -109.430168)",
ILLINOIS,2016,2,,-,0,,113,,61,,158,,"ILLINOIS
(40.477092, -88.993221)",
KANSAS,2016,2,,-,0,,14,,,-,20,,"KANSAS
(38.345528, -98.201847)",
CALIFORNIA,2016,2,322,,322,,610,,711,,1015,,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2016,2,19,,19,,44,,45,,52,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2016,2,7,,2,,7,,9,,8,,"DELAWARE
(39.008676, -75.574561)",
OHIO,2016,2,34,,21,,46,,55,,72,,"OHIO
(40.056807, -82.405897)",
ARKANSAS,2016,2,24,,14,,24,,38,,59,,"ARKANSAS
(34.748745, -92.275105)",
ARIZONA,2016,2,,-,0,,122,,,-,37,,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2016,2,5,,3,,11,,8,,27,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2016,2,16,,13,,20,,29,,36,,"COLORADO
(38.841772, -106.132562)",
SOUTH DAKOTA,2016,2,3,,3,,4,,7,,10,,"SOUTH DAKOTA
(44.35371, -100.373709)",
PUERTO RICO,2016,2,15,,8,,19,,23,,23,,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2016,2,1,,1,,3,,2,,7,,"IDAHO
(43.680635, -114.364237)",
ALABAMA,2016,2,29,,26,,32,,55,,56,,"ALABAMA
(32.839182, -86.631125)",
UNITED STATES,2016,3,1554,,1554,,2839,,5734,,6940,,,
NEW ENGLAND,2016,3,44,,44,,83,,161,,246,,,
MID. ATLANTIC,2016,3,296,,240,,362,,855,,920,,,
NEW YORK CITY,2016,3,156,,124,,162,,442,,434,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,140,,140,,253,,474,,563,,,
W.N. CENTRAL,2016,3,52,,52,,108,,224,,267,,,
S. ATLANTIC,2016,3,309,,309,,472,,1078,,1201,,,
DIST. OF COL.,2016,3,3,,3,,11,,20,,28,,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,88,,55,,117,,246,,274,,,
W.S. CENTRAL,2016,3,161,,161,,419,,906,,1190,,,
MOUNTAIN,2016,3,39,,30,,183,,122,,279,,,
PACIFIC,2016,3,425,,425,,842,,1668,,2000,,,
AMER. SAMOA,2016,3,,-,0,,3,,,-,1,,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,0,,10,,13,,17,,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,1,,1,,,-,"VIRGIN ISL.
",
IOWA,2016,3,,-,0,,12,,21,,30,,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2016,3,46,,37,,64,,147,,156,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2016,3,31,,31,,43,,116,,153,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2016,3,1,,1,,4,,7,,9,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2016,3,2,,2,,13,,25,,57,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2016,3,21,,16,,31,,68,,100,,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2016,3,,-,0,,3,,,-,6,,"MONTANA
(47.062617, -109.430168)",
FLORIDA,2016,3,78,,78,,157,,378,,462,,"FLORIDA
(28.915325, -81.922409)",
OHIO,2016,3,27,,21,,46,,82,,101,,"OHIO
(40.056807, -82.405897)",
ARIZONA,2016,3,,-,0,,122,,,-,76,,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2016,3,14,,10,,28,,37,,46,,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGINIA,2016,3,51,,25,,76,,129,,136,,"VIRGINIA
(37.542699, -78.45822)",
GUAM,2016,3,,-,0,,19,,5,,57,,"GUAM
(13.3532, 144.653198)",
INDIANA,2016,3,27,,20,,35,,76,,81,,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2016,3,1,,1,,5,,9,,25,,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,3,30,,30,,56,,98,,135,,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2016,3,5,,4,,9,,13,,28,,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2016,3,,-,0,,6,,1,,27,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2016,3,26,,3,,30,,59,,40,,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2016,3,2,,2,,27,,49,,93,,"LOUISIANA
(31.2931, -92.463284)",
ALASKA,2016,3,4,,4,,19,,36,,49,,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,3,17,,14,,28,,59,,74,,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2016,3,123,,123,,357,,737,,974,,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2016,3,4,,2,,5,,9,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2016,3,64,,64,,112,,223,,242,,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2016,3,11,,11,,18,,43,,58,,"OREGON
(44.567912, -120.156945)",
COLORADO,2016,3,7,,7,,20,,42,,56,,"COLORADO
(38.841772, -106.132562)",
NEVADA,2016,3,15,,5,,18,,36,,67,,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2016,3,8,,5,,16,,20,,53,,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2016,3,27,,26,,31,,82,,88,,"ALABAMA
(32.839182, -86.631125)",
IDAHO,2016,3,2,,1,,4,,8,,10,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2016,3,47,,26,,64,,137,,119,,"MARYLAND
(39.290443, -76.612333)",
MAINE,2016,3,9,,3,,9,,19,,15,,"MAINE
(45.252223, -68.986647)",
WYOMING,2016,3,,-,0,,2,,1,,2,,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2016,3,58,,58,,82,,204,,234,,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2016,3,14,,14,,44,,73,,86,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2016,3,37,,35,,63,,125,,125,,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2016,3,14,,8,,19,,37,,33,,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2016,3,352,,352,,716,,1378,,1645,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2016,3,3,,3,,4,,10,,14,,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2016,3,25,,16,,29,,70,,79,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2016,3,,-,0,,14,,19,,22,,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2016,3,42,,33,,77,,120,,123,,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2016,3,1,,1,,7,,11,,15,,"DELAWARE
(39.008676, -75.574561)",
VERMONT,2016,3,1,,0,,2,,3,,5,,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2016,3,39,,25,,57,,108,,93,,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2016,3,12,,12,,35,,64,,92,,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2016,3,19,,15,,27,,61,,49,,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2016,3,8,,8,,23,,51,,75,,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2016,3,10,,3,,11,,22,,34,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2016,3,72,,38,,118,,172,,208,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2016,3,2,,2,,9,,14,,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
